cod_ibge,latitude,longitude,altitude,dist_cap_uf,dist_cap_fed,area_1920,area_1940,area_1950,area_1960,area_1970,area_1980,area_1985,area_1991,area_1995,area_1998,area_2000,area_2010,temp_media,temp_var,chuva_media,chuva_var
3520608,-22.1744444444,51.2516666667,479,497.508280587,789.5840615528,NA,NA,105,105,105,105,105,127.9,127,127.9,127.6,126.6,22.616666666649998,5.833333333300001,114.3166666667,138.5
3520707,-19.98,50.2897222222,440,546.6868040532,527.9011518304,NA,NA,NA,280,275,275,275,280.3,280,280.3,279.5,279.6,24.11666666665,4.0333333333,123.3,200.6
3520806,-21.7697222222,50.9619444444,467,486.2583033153,736.0946504098,NA,NA,NA,68,110,110,110,86.9,86,86.9,86.7,87.4,22.75,5.5666666666,111.8,144.9333333334
3520905,-23.0566666667,49.6263888889,568,310.6896341348,825.0245573338,157,241,190,191,206,206,206,209.6,209,209.6,209.1,209.7,20.8,6.0666666666,119.51666666665,138.0333333333
3521002,-23.3502777778,47.6886111111,590,109.7450110863,838.4471725185,NA,NA,NA,NA,170,170,170,171.4,171,171.4,170.9,170,19.68333333335,5.766666666700001,115.44999999999999,154.1666666666
3521101,-22.4358333333,47.7188888889,635,165.7776583043,737.1326152206,NA,NA,NA,NA,207,207,207,191,191,191,190.5,190,20.1166666667,5.099999999999998,126.98333333334999,198.4333333333
3521150,-20.6566666667,49.3872222222,508,427.8637396518,561.3872176606,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.4,134,136.8,NA,NA,NA,NA
3521200,-24.5855555556,48.5930555556,81,229.8517573473,977.3419219889,1596,1996,2131,2137,1159,1159,1159,1162.7,1162,1162.7,1160.2,1152.1,19.27222166665,6.6777766667,129.588895,124.13334333339999
3521309,-20.4380555556,48.0122222222,555,372.4903794895,515.6736040634,NA,NA,456,457,457,457,457,466.9,466,466.9,465.6,465.9,22.4,4,134.23333333335,237.73333333329998
3521408,-22.5805555556,47.5186111111,608,140.165255821,754.065520371,NA,NA,NA,91,91,91,91,115.6,115,115.6,115.3,115.1,20.2666666667,5.399999999999999,122,187.60000000000002
3521507,-21.2794444444,49.4088888889,428,380.2496826406,628.4703368573,NA,NA,253,237,237,237,237,258.1,258,258.1,257.4,257.9,23.0666666667,4.800000000000001,111.58333333335,175.76666666670002
3521606,-21.5708333333,51.345,436,531.5084863168,735.3402532693,NA,NA,NA,223,223,223,223,214,214,214,213.4,214.9,23.28333333335,5.633333333300001,109.9,143.2
3521705,-23.8619444444,49.1372222222,651,257.4469046446,903.6322201034,1025,1058,1004,1007,1007,1007,1007,1085.3,1085,1085.3,1082.8,1082.1,19.5416666667,6.25,112.47500000000001,112.2333333334
3521804,-23.4177777778,49.0905555556,614,251.1540259997,854.2666356917,1503,1989,1145,1148,1089,1089,1089,1114.9,1114,1114.9,1112.3,1111.2,20.12777666665,5.9666666667,113.26110499999999,129.0333233334
