;coef;value
237;arrecifes;-0,0
238;arredores;0,24209521973221687
239;arrendamento;0,0
240;arrendatários;0,1344122038222182
241;arrobas;0,0
242;arroio;0,37207566253012414
243;arroios;0,11241779473120618
244;arroz;0,1623440421036768
245;arruamento;0,0
246;art;-0,14390873625428935
247;arte;-0,0904620894932493
248;artefatos;0,0
249;artes;-0,0
250;artesanato;-0,07500852142415829
251;artesãos;-0,0
252;artigo;0,06847798951243778
253;artigos;-0,0
254;artilharia;0,0
255;artista;-0,0
256;artistas;0,03849390451105179
257;artéria;0,0
258;artífices;0,0
259;ascensão;0,03975372044951245
260;asfaltamento;0,0
261;asfalto;-0,0
262;aspecto;0,0
263;aspectos;-0,0
264;aspirações;0,049840295288294464
265;assassinato;0,0
266;assembléia;0,037012089692205784
267;assentamento;0,12716589199378955
268;assentamentos;-0,012930202282750224
269;assinatura;0,01923563458678787
270;assinaturas;0,0007770951890726512
271;assistência;0,0
272;associação;0,0
273;associações;-0,059400676415058175
274;assunto;-0,0
275;assuntos;0,1390955125721371
276;ata;-6,0253852340516425e-05
277;atacadista;0,0701628015151351
278;ataque;0,05239956667715683
279;ataques;0,41966689926655015
280;atendimento;0,07576136836531581
281;atenção;0,00386250902321328
282;atenções;0,04034628932689502
283;aterro;0,0
284;atitude;-0,0
285;atividade;0,04552447381497173
286;atividades;0,09006970112941581
287;ato;0,006943923123088259
288;atos;-0,07552756948177573
289;atrativo;-0,116932623812301
290;atrativos;-0,24637840661190435
291;atração;-0,4430264393720353
292;atrações;0,15035508666441902
293;atualidade;-0,09070591348562793
294;atuação;0,0
295;auge;-0,029795068355634016
296;aula;0,0
297;aulas;-0,0
298;aumento;0,18144087135933434
299;auspícios;-0,012417991409046142
300;austríacos;0,0
301;ausência;0,0
302;auto;0,0
303;automóveis;-0,0
304;automóvel;-0,033612932992553954
305;autonomia;-0,1949763122089843
306;autor;0,0
307;autores;0,017606281497302874
308;autoria;0,17944477252767094
309;autoridade;0,04188888669077815
310;autoridades;0,01832139520770864
311;autorização;-0,0
312;auxiliares;0,0
313;auxilio;0,0
314;auxílio;0,0
315;avanço;-0,20114058202235585
316;avanços;0,13143112270672416
317;ave;0,0
318;avenida;0,0
319;avenidas;0,033288398333656474
320;aventura;0,0
321;aventuras;0,05398842442523926
322;aventureiro;-0,03857612060827028
323;aventureiros;0,10990011129810498
324;aves;0,033382598692053095
325;aviação;-0,0
326;avicultura;0,0
327;aviários;0,0
328;avião;0,0
329;aviões;-0,0
330;avô;0,23457005766344965
331;aço;0,0
332;açorianos;0,25820078555705933
333;açougue;-0,0
334;açu;-0,0
335;açucar;-0,4101639819542938
336;açude;-0,5267899221842269
337;açudes;-0,14933274709460906
338;ação;-0,06111850180528944
339;ações;-0,0
340;açúcar;0,17854088636153126
341;babaçu;-0,27557918958363126
342;bacharel;-0,10235367346497977
343;bacia;0,09085972145507722
344;bacias;0,07948380663900195
345;bagagem;0,0
346;bagagens;-0,0
347;bahia;-0,21204334356899662
348;baiana;-0,2772194843355816
349;baianas;-0,0959047943078318
350;baianos;-0,2061570208928936
351;baile;-0,0
352;bailes;0,0
353;bairros;0,42549613182107276
354;balaios;-0,2470478473864034
355;baleia;0,23105366305327282
356;balneário;0,0
357;balneários;0,11663684103317475
358;balsa;0,3362101527346064
359;balsas;0,08275465470515748
360;banana;-0,03183405551385073
361;bananas;-0,0
362;banco;0,031089819756286177
363;bancos;-0,0
364;banda;-0,0
365;bandas;0,12287102649276782
366;bandeira;-0,11727926810160222
367;bandeirante;0,31121131566546995
368;bandeirantes;0,3665529314467429
369;bandeiras;0,4257720941912791
370;bandeirismo;0,0
371;bandidos;-0,0
372;bando;-0,013482976204027627
373;bandoleiros;0,0
374;bandos;-0,0
375;banho;0,017694823687714772
376;banhos;-0,014904342303250415
377;bar;-0,0
378;baratas;-0,10242834043343926
379;baraúna;-0,05055442819625467
380;barbosa;-0,0
381;barca;0,0014494343484383698
382;barco;-0,0
383;barcos;0,0
384;bares;0,0
385;barqueiros;0,0
386;barra;0,053969108318206754
387;barraca;-0,007836749546032584
388;barracas;-0,0
389;barraco;-0,11280733255862606
390;barracos;-0,13331798880215856
391;barracão;-0,0
392;barracões;-0,0
393;barragem;-0,1543725549811722
394;barranca;0,11203651152321506
395;barrancas;0,1123915915870123
396;barraquinhas;-0,05452752055839908
397;barras;0,0
398;barreira;0,19159488850877057
399;barreiras;-0,031019956989862874
400;barro;-0,0
401;barroco;0,0
402;barulho;-0,0
403;barão;0,07034135633412215
404;barões;0,0950775769753019
